18/11/15 23:15
プロジェクトの翻訳状況

            	 分節数	   単語数	文字数（空白を除く）	文字数（空白を含む）	ファイル数	
合計：         	8307	124502	    746064	    862134	   53	
未翻訳：        	6421	102189	    599639	    696990	   42	
繰り返しを除いた：   	7962	123513	    739190	    854531	   53	
繰り返しを除いた未翻訳：	6284	101531	    595329	    692135	   42	


ファイルごとの翻訳状況：

ファイル名                                        	すべての分節数	未翻訳分節数	繰り返しを除いた分節数	繰り返しを除いた未翻訳分節数	すべての単語数	未翻訳単語数	繰り返しを除いた単語数	繰り返しを除いた未翻訳単語数	すべての文字数（空白を除く）	未翻訳文字数（空白を除く）	繰り返しを除いた文字数（空白を除く）	繰り返しを除いた未翻訳文字数（空白を除く）	すべての文字数（空白を含む）	未翻訳文字数（空白を含む）	繰り返しを除いた文字数（空白を含む）	繰り返しを除いた未翻訳文字数（空白を含む）	
manual-networking-and-streams.md             	     89	    88	         88	            88	   1471	  1468	       1468	          1468	          8493	         8486	              8486	                 8486	          9906	         9898	              9898	                 9898	
manual-noteworthy-differences.md             	    244	   242	        228	           228	   3771	  3767	       3556	          3556	         22377	        22355	             21140	                21140	         25711	        25687	             24283	                24283	
manual-parallel-computing.md                 	    631	   625	        623	           623	  10426	 10417	      10406	         10406	         60930	        60868	             60762	                60762	         71281	        71215	             71103	                71103	
manual-performance-tips.md                   	    460	   454	        453	           453	   8036	  8030	       8026	          8026	         44955	        44913	             44902	                44902	         53247	        53202	             53186	                53186	
manual-profile.md                            	    134	   134	        134	           134	   2450	  2450	       2450	          2450	         14680	        14680	             14680	                14680	         17108	        17108	             17108	                17108	
manual-running-external-programs.md          	     97	    97	         96	            96	   1780	  1780	       1779	          1779	          9716	         9716	              9709	                 9709	         11244	        11244	             11237	                11237	
manual-stacktraces.md                        	     51	    50	         50	            50	   1285	  1283	       1283	          1283	          8733	         8722	              8722	                 8722	         10004	         9992	              9992	                 9992	
manual-strings.md                            	    319	   315	        310	           310	   5203	  5195	       5190	          5190	         30419	        30375	             30307	                30307	         34900	        34852	             34784	                34784	
manual-style-guide.md                        	    167	   166	        162	           162	   2204	  2202	       2196	          2196	         12401	        12390	             12362	                12362	         14329	        14317	             14287	                14287	
manual-types.md                              	    461	   458	        458	           458	   8428	  8425	       8425	          8425	         48948	        48927	             48927	                48927	         56516	        56494	             56494	                56494	
manual-unicode-input.md                      	     14	    12	         12	            12	    354	   353	        353	           353	          2426	         2416	              2416	                 2416	          2990	         2980	              2980	                 2980	
manual-variables-and-scoping.md              	    156	   154	        145	           145	   2416	  2416	       2403	          2403	         12914	        12908	             12843	                12843	         15804	        15798	             15729	                15729	
manual-variables.md                          	     38	    37	         37	            37	    648	   646	        646	           646	          3775	         3764	              3764	                 3764	          4344	         4332	              4332	                 4332	
manual-workflow-tips.md                      	     32	    32	         32	            32	    290	   290	        290	           290	          1842	         1842	              1842	                 1842	          2073	         2073	              2073	                 2073	
